Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting Attention REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1178.62 | Baseline: 778.38 | Improvement: -400.25 | Win Rate: 0.00% | Actor Loss: 5.3029 | Entropy: 4.1282
   -> Saved new best model (Makespan: 1178.62)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_training_metrics.png
Epoch [2/2000] | Sampled: 1577.62 | Baseline: 852.19 | Improvement: -725.44 | Win Rate: 0.00% | Actor Loss: 5.9927 | Entropy: 4.1167
Epoch [3/2000] | Sampled: 1892.94 | Baseline: 747.19 | Improvement: -1145.75 | Win Rate: 0.00% | Actor Loss: 14.0769 | Entropy: 3.5465
Epoch [4/2000] | Sampled: 2095.94 | Baseline: 779.31 | Improvement: -1316.62 | Win Rate: 0.00% | Actor Loss: 16.8936 | Entropy: 3.3246
Epoch [5/2000] | Sampled: 1997.75 | Baseline: 713.00 | Improvement: -1284.75 | Win Rate: 0.00% | Actor Loss: 12.4614 | Entropy: 3.1694
Epoch [6/2000] | Sampled: 1856.31 | Baseline: 658.94 | Improvement: -1197.38 | Win Rate: 0.00% | Actor Loss: 11.2515 | Entropy: 3.0002
Epoch [7/2000] | Sampled: 2019.62 | Baseline: 712.94 | Improvement: -1306.69 | Win Rate: 0.00% | Actor Loss: 12.5294 | Entropy: 3.0209
Epoch [8/2000] | Sampled: 1956.44 | Baseline: 685.38 | Improvement: -1271.06 | Win Rate: 0.00% | Actor Loss: 9.3037 | Entropy: 2.9965
Epoch [9/2000] | Sampled: 2099.69 | Baseline: 723.88 | Improvement: -1375.81 | Win Rate: 0.00% | Actor Loss: 8.1558 | Entropy: 2.9514
Epoch [10/2000] | Sampled: 2193.69 | Baseline: 742.19 | Improvement: -1451.50 | Win Rate: 0.00% | Actor Loss: 10.4471 | Entropy: 2.9909
Epoch [11/2000] | Sampled: 2216.94 | Baseline: 760.94 | Improvement: -1456.00 | Win Rate: 0.00% | Actor Loss: 10.5782 | Entropy: 2.9317
Epoch [12/2000] | Sampled: 2198.44 | Baseline: 761.31 | Improvement: -1437.12 | Win Rate: 0.00% | Actor Loss: 10.1909 | Entropy: 2.9616
Epoch [13/2000] | Sampled: 2157.50 | Baseline: 752.06 | Improvement: -1405.44 | Win Rate: 0.00% | Actor Loss: 11.5905 | Entropy: 2.9512
Epoch [14/2000] | Sampled: 2092.81 | Baseline: 716.12 | Improvement: -1376.69 | Win Rate: 0.00% | Actor Loss: 10.0320 | Entropy: 2.9462
Epoch [15/2000] | Sampled: 2318.12 | Baseline: 807.75 | Improvement: -1510.38 | Win Rate: 0.00% | Actor Loss: 10.0630 | Entropy: 3.0932
Epoch [16/2000] | Sampled: 2145.25 | Baseline: 743.25 | Improvement: -1402.00 | Win Rate: 0.00% | Actor Loss: 9.0280 | Entropy: 2.9738
