Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [1/2000] | Sampled: 1178.62 | Baseline: 778.38 | Improvement: -400.25 | Win Rate: 0.00% | Actor Loss: 4.2775 | Entropy: 4.1128
   -> Saved new best model (Makespan: 1178.62)
   -> Saved updated training chart to /home/wei/AMR-DFJSP/Static_alogorithm/Attention/attention_precise_training_metrics.png
Epoch [2/2000] | Sampled: 1755.25 | Baseline: 852.19 | Improvement: -903.06 | Win Rate: 0.00% | Actor Loss: 9.9827 | Entropy: 3.8495
Epoch [3/2000] | Sampled: 1935.56 | Baseline: 747.19 | Improvement: -1188.38 | Win Rate: 0.00% | Actor Loss: 15.7330 | Entropy: 3.3897
Epoch [4/2000] | Sampled: 2035.06 | Baseline: 779.31 | Improvement: -1255.75 | Win Rate: 0.00% | Actor Loss: 18.2218 | Entropy: 3.3174
Epoch [5/2000] | Sampled: 1962.50 | Baseline: 713.00 | Improvement: -1249.50 | Win Rate: 0.00% | Actor Loss: 15.9496 | Entropy: 3.1772
Epoch [6/2000] | Sampled: 1751.62 | Baseline: 658.94 | Improvement: -1092.69 | Win Rate: 0.00% | Actor Loss: 16.9704 | Entropy: 3.1407
Epoch [7/2000] | Sampled: 1853.50 | Baseline: 712.94 | Improvement: -1140.56 | Win Rate: 0.00% | Actor Loss: 15.6134 | Entropy: 3.2563
Epoch [8/2000] | Sampled: 1743.25 | Baseline: 685.38 | Improvement: -1057.88 | Win Rate: 0.00% | Actor Loss: 17.0916 | Entropy: 3.2489
Epoch [9/2000] | Sampled: 1760.44 | Baseline: 723.88 | Improvement: -1036.56 | Win Rate: 0.00% | Actor Loss: 10.6784 | Entropy: 3.4040
Epoch [10/2000] | Sampled: 1876.81 | Baseline: 742.19 | Improvement: -1134.62 | Win Rate: 0.00% | Actor Loss: 20.5548 | Entropy: 3.3746
Epoch [11/2000] | Sampled: 1967.75 | Baseline: 760.94 | Improvement: -1206.81 | Win Rate: 0.00% | Actor Loss: 16.5073 | Entropy: 3.3418
Epoch [12/2000] | Sampled: 1979.88 | Baseline: 761.31 | Improvement: -1218.56 | Win Rate: 0.00% | Actor Loss: 17.2080 | Entropy: 3.2845
Epoch [13/2000] | Sampled: 1871.44 | Baseline: 752.06 | Improvement: -1119.38 | Win Rate: 0.00% | Actor Loss: 15.1186 | Entropy: 3.3466
Epoch [14/2000] | Sampled: 1824.44 | Baseline: 716.12 | Improvement: -1108.31 | Win Rate: 0.00% | Actor Loss: 7.7755 | Entropy: 3.2583
